CASENUMBER,TYPEOFBUSINESS,TYPEOFCOMPLAINT,OPENDATE,CLOSEDATE,OUTCOME,LONGITUDE,LATITUDE
2021 056314-CC,Other (Describe in Comments),Face Covering,4/16/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 056284-CC,Residential,Eviction,4/16/2021,4/20/2021,COVID-19/Education Provided,-97.6532631,30.37925778
2021 056282-CC,Other (Describe in Comments),Social Distancing,4/16/2021,4/16/2021,No Violation(s) Found/Inspection Performed,-97.7492971,30.27001854
2021 056211-CC,Restaurant,Face Covering Non-Compliance - Business,4/16/2021,4/16/2021,No Violation(s) Found/Inspection Performed,-97.7473542,30.28963913
2021 055956-CC,Other (Describe in Comments),Face Covering,4/16/2021,4/16/2021,No Violation(s) Found/Inspection Performed,-97.73739719,30.23206604
2021 055103-CC,Residential,Eviction,4/15/2021,4/16/2021,COVID-19/Education Provided,-97.72624474,30.22706634
2021 054885-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/15/2021,4/15/2021,No Violation(s) Found/Inspection Performed,-97.71622964,30.34997755
2021 054858-CC,Other (Describe in Comments),Social Distancing,4/14/2021,4/16/2021,No Violation(s) Found/Inspection Performed,-97.7366835,30.26715122
2021 054812-CC,Residential,Eviction,4/14/2021,4/19/2021,No Violation(s) Found/Inspection Performed,-97.72624474,30.22706634
2021 054706-CC,Residential,Eviction,4/14/2021,4/16/2021,COVID-19/Education Provided,-88.448709,24.923983
2021 054632-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/14/2021,4/14/2021,No Violation(s) Found/Inspection Performed,-97.72154774,30.26215287
2021 054223-CC,Other (Describe in Comments),Face Covering,4/14/2021,4/14/2021,No Violation(s) Found/Inspection Performed,-97.82217195,30.1741533
2021 054131-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/13/2021,4/13/2021,No Violation(s) Found/Inspection Performed,-97.69324893,30.37039095
2021 054105-CC,Other,Face-Covering,4/13/2021,4/13/2021,No Violation(s) Found/Inspection Performed,-97.72738583,30.35467958
2021 054089-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/13/2021,4/13/2021,No Violation(s) Found/Inspection Performed,-97.77229564,30.19061072
2021 054071-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/13/2021,4/13/2021,No Violation(s) Found/Inspection Performed,-97.82255238,30.17264889
2021 054052-CC,Other (Describe in Comments),Face Covering,4/13/2021,4/14/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 053973-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/13/2021,4/13/2021,No Violation(s) Found/Inspection Performed,-97.74211356,30.28099097
2021 053953-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/13/2021,4/13/2021,No Violation(s) Found/Inspection Performed,-97.79502108,30.23731064
2021 053577-CC,Other (Describe in Comments),Face Covering,4/12/2021,4/12/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 053139-CC,Residential,Eviction,4/12/2021,4/13/2021,COVID-19/Education Provided,-97.68523171,30.34887207
2021 053040-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/12/2021,4/12/2021,No Violation(s) Found/Inspection Performed,-97.68097995,30.33786336
2021 052850-CC,Restaurant,Face Covering,4/11/2021,4/12/2021,No Violation(s) Found/Inspection Performed,-97.71813151,30.39868463
2021 052849-CC,Residential,Eviction,4/11/2021,4/13/2021,COVID-19/Education Provided,-97.80173267,30.46042179
2021 052840-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/11/2021,4/11/2021,No Violation(s) Found/Inspection Performed,-97.73989739,30.30735003
2021 052812-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/11/2021,4/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 052809-CC,Restaurant,Face Covering Non-Compliance - Business,4/11/2021,4/11/2021,No Violation(s) Found/Inspection Performed,-97.70661918,30.31140244
2021 052774-CC,Other (Describe in Comments),Face Covering,4/11/2021,4/11/2021,No Violation(s) Found/Inspection Performed,-97.7365477,30.295192
2021 052737-CC,Other (Describe in Comments),Social Distancing,4/10/2021,4/10/2021,Referred to Appropriate Agency,-97.74689653,30.28866309
2021 052736-CC,Other (Describe in Comments),Over Occupancy,4/10/2021,4/10/2021,COVID-19/Education Provided,-97.74695356,30.28908397
2021 052723-CC,Other (Describe in Comments),Social Distancing,4/10/2021,4/10/2021,Closed/Duplicate Case,-97.74695356,30.28908397
2021 052721-CC,Other (Describe in Comments),Over Occupancy,4/10/2021,4/10/2021,Closed/Duplicate Case,-97.74695356,30.28908397
2021 052705-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/10/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 052702-CC,Other (Describe in Comments),Social Distancing,4/10/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-97.74967868,30.28670182
2021 052690-CC,Other (Describe in Comments),Face Covering,4/10/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 052680-CC,Other (Describe in Comments),Face Covering,4/10/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 052642-CC,Other (Describe in Comments),Over Occupancy,4/10/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-97.72014967,30.27388573
2021 052636-CC,Other (Describe in Comments),Social Distancing,4/9/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-97.74695356,30.28908397
2021 052633-CC,Other (Describe in Comments),Social Distancing,4/9/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-97.74931936,30.27002512
2021 052620-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/9/2021,4/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 052619-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/9/2021,4/9/2021,No Violation(s) Found/Inspection Performed,-97.73862805,30.26506411
2021 052594-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/9/2021,4/9/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 052400-CC,Bar,Face Covering Non-Compliance - Business,4/9/2021,4/9/2021,No Violation(s) Found/Inspection Performed,-97.73677064,30.26705796
2021 052067-CC,Other (Describe in Comments),Face Covering,4/9/2021,4/9/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 051891-CC,Restaurant,Face Covering Non-Compliance - Business,4/8/2021,4/8/2021,Referred to Appropriate Agency,-97.76612074,30.25137737
2021 051719-CC,Residential,Eviction,4/8/2021,4/12/2021,COVID-19/Education Provided,-97.83223946,30.43214758
2021 051703-CC,Other,Eviction,4/8/2021,,,-97.70342062,30.31852907
2021 051695-CC,Other,Eviction,4/8/2021,,,-97.70342062,30.31852907
2021 051690-CC,Other,Eviction,4/8/2021,,,-97.70342062,30.31852907
2021 051672-CC,Other,Eviction,4/8/2021,,,-97.70342062,30.31852907
2021 051659-CC,Other,Eviction,4/8/2021,4/15/2021,COVID-19/Education Provided,-97.70342062,30.31852907
2021 051251-CC,Other (Describe in Comments),Face Covering,4/7/2021,4/8/2021,No Violation(s) Found/Inspection Performed,-98.0413063,30.34097704
2021 051238-CC,Bar,Face Covering Non-Compliance - Business,4/7/2021,4/8/2021,No Violation(s) Found/Inspection Performed,-97.72263642,30.40083405
2021 051223-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/7/2021,4/8/2021,No Violation(s) Found/Inspection Performed,-97.83393989,30.15192588
2021 051204-CC,Other (Describe in Comments),Face Covering,4/7/2021,4/8/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 051196-CC,Other (Describe in Comments),Face Covering,4/7/2021,4/7/2021,No Violation(s) Found/Inspection Performed,-97.78711919,30.16962813
2021 051139-CC,Residential,Eviction,4/7/2021,4/13/2021,COVID-19/Education Provided,-88.448709,24.923983
2021 051107-CC,Residential,Eviction,4/7/2021,4/28/2021,COVID-19/Verbal Warning Issued,-97.71325609,30.29179619
2021 051104-CC,Other (Describe in Comments),Face Covering,4/7/2021,4/7/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 051083-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/7/2021,4/7/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 050670-CC,Other (Describe in Comments),Face Covering,4/7/2021,4/7/2021,No Violation(s) Found/Inspection Performed,-97.82217195,30.1741533
2021 050656-CC,Other (Describe in Comments),Face Covering,4/7/2021,4/7/2021,No Violation(s) Found/Inspection Performed,-97.82217195,30.1741533
2021 050544-CC,Other (Describe in Comments),Face Covering,4/6/2021,4/7/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 050532-CC,Other,Other,4/6/2021,4/7/2021,COVID-19/Education Provided,-97.70342062,30.31852907
2021 050168-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/6/2021,4/6/2021,No Violation(s) Found/Inspection Performed,-97.76014448,30.27315832
2021 049741-CC,Residential,Eviction,4/5/2021,,,-97.71738761,30.3730603
2021 049478-CC,Other (Describe in Comments),Social Distancing,4/5/2021,4/5/2021,No Violation(s) Found/Inspection Performed,-97.75393699,30.42030328
2021 049176-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/5/2021,4/5/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 049109-CC,Other (Describe in Comments),Over Occupancy,4/4/2021,4/5/2021,No Violation(s) Found/Inspection Performed,-97.78100641,30.203968
2021 049099-CC,Other (Describe in Comments),Over Occupancy,4/4/2021,4/5/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 049069-CC,Bar,Face Covering Non-Compliance - Business,4/4/2021,4/4/2021,No Violation(s) Found/Inspection Performed,-97.74914765,30.25034117
2021 049027-CC,Other (Describe in Comments),Face Covering,4/4/2021,4/4/2021,COVID-19/Education Provided,-88.448709,24.923983
2021 048972-CC,Other (Describe in Comments),Face Covering,4/3/2021,4/3/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 048933-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/3/2021,4/3/2021,No Violation(s) Found/Inspection Performed,-97.72318818,30.2917876
2021 048901-CC,Residential,Eviction,4/3/2021,4/12/2021,COVID-19/Education Provided,-97.73659534,30.23579573
2021 048871-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/2/2021,4/5/2021,No Violation(s) Found/Inspection Performed,-97.7196515,30.30046327
2021 048846-CC,Restaurant,Face Covering Non-Compliance - Business,4/2/2021,4/3/2021,No Violation(s) Found/Inspection Performed,-97.68661767,30.35785631
2021 048636-CC,Other (Describe in Comments),Face Covering,4/2/2021,4/3/2021,No Violation(s) Found/Inspection Performed,-97.71525926,30.36975213
2021 048593-CC,Residential,Eviction,4/2/2021,4/6/2021,COVID-19/Education Provided,-97.67525523,30.35249303
2021 048446-CC,Other (Describe in Comments),Face Covering,4/2/2021,4/2/2021,No Violation(s) Found/Inspection Performed,-97.70753352,30.29821668
2021 048391-CC,Apartment Common Area,Face Covering Non-Compliance - Business,4/2/2021,4/2/2021,No Violation(s) Found/Inspection Performed,-97.75501397,30.349223
2021 048360-CC,Residential,Eviction,4/2/2021,4/9/2021,COVID-19/Education Provided,-97.73116846,30.22813318
2021 048216-CC,Other (Describe in Comments),Face Covering,4/2/2021,4/2/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 048123-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/1/2021,4/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 048032-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/1/2021,4/1/2021,No Violation(s) Found/Inspection Performed,-97.74809535,30.32747219
2021 047864-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/1/2021,4/1/2021,Closed due to Administrative Reasons,-97.6878685,30.28174953
2021 047784-CC,Apartment Common Area,Face Covering Non-Compliance - Business,4/1/2021,4/1/2021,No Violation(s) Found/Inspection Performed,-97.75501397,30.349223
2021 047625-CC,Residential,Eviction,4/1/2021,4/1/2021,COVID-19/Education Provided,-97.74684386,30.22826838
2021 047570-CC,Residential,Eviction,4/1/2021,4/1/2021,COVID-19/Education Provided,-97.73116846,30.22813318
2021 047469-CC,Residential,Eviction,4/1/2021,4/2/2021,No Violation(s) Found/Inspection Performed,-97.62110685,30.1708527
2021 047335-CC,Other (Describe in Comments),Face Covering,3/31/2021,4/1/2021,Referred to Appropriate Agency,-88.448709,24.923983
2021 047309-CC,Residential,Eviction,3/31/2021,4/1/2021,COVID-19/Education Provided,-97.83223946,30.43214758
2021 047306-CC,Restaurant,Face Covering,3/31/2021,3/31/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 047270-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/31/2021,3/31/2021,No Violation(s) Found/Inspection Performed,-97.72738583,30.35467958
2021 047181-CC,Residential,Eviction,3/31/2021,4/1/2021,COVID-19/Education Provided,-97.75773078,30.24193961
2021 046851-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/31/2021,3/31/2021,Closed/Duplicate Case,-97.79137446,30.2352058
2021 046828-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/31/2021,3/31/2021,No Violation(s) Found/Inspection Performed,-97.79137446,30.2352058
2021 046656-CC,Other (Describe in Comments),Face Covering,3/30/2021,3/31/2021,No Violation(s) Found/Inspection Performed,-97.68160508,30.28569948
2021 046532-CC,Restaurant,Face Covering Non-Compliance - Business,3/30/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 046358-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/30/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 046305-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/30/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 046277-CC,Residential,Eviction,3/30/2021,4/5/2021,COVID-19/Education Provided,-97.71738761,30.3730603
2021 046256-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/30/2021,3/30/2021,Closed/Duplicate Case,-97.83951296,30.22362217
2021 046165-CC,Residential,Eviction,3/30/2021,4/2/2021,COVID-19/Education Provided,-97.7746106,30.44431657
2021 046128-CC,Other (Describe in Comments),Face Covering,3/30/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 045950-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/30/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-97.83951296,30.22362217
2021 045871-CC,Other (Describe in Comments),Face Covering,3/30/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-97.73404221,30.31497688
2021 045795-CC,Other (Describe in Comments),Face Covering,3/29/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-97.7365477,30.295192
2021 045769-CC,Other (Describe in Comments),Face Covering,3/29/2021,3/30/2021,Referred to Appropriate Agency,-88.448709,24.923983
2021 045729-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/29/2021,3/30/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 045479-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/29/2021,3/29/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 045173-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/29/2021,3/29/2021,No Violation(s) Found/Inspection Performed,-97.83951296,30.22362217
2021 045126-CC,Other (Describe in Comments),Face Covering,3/29/2021,3/29/2021,No Violation(s) Found/Inspection Performed,-97.82217195,30.1741533
2021 045013-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/28/2021,3/28/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 045000-CC,Other (Describe in Comments),Social Distancing,3/28/2021,3/28/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
